EmployeeID,Age,Resigned,BusinessTravel,BusinessUnit,EducationLevel,Gender,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,AverageWeeklyHoursWorked,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInRole,YearsSinceLastPromotion,YearsWithCurrManager
7912,41,Yes,Travel_Rarely,Sales,2.0,Female,4.0,Single,5993.0,8,Yes,11,3,63.0,8,0,1.0,6,4,0,5
1520,49,No,Travel_Frequently,Consultants,1.0,Male,2.0,Married,5130.0,1,No,23,4,40.0,10,3,3.0,10,7,1,7
1488,37,Yes,Travel_Rarely,Consultants,2.0,Male,3.0,Single,2090.0,6,Yes,15,3,50.0,7,3,3.0,0,0,0,0
2535,33,No,Travel_Frequently,Consultants,4.0,Female,3.0,Married,2909.0,1,Yes,11,3,48.0,8,3,3.0,8,7,3,0
4582,27,No,Travel_Rarely,Consultants,1.0,Male,2.0,Married,3468.0,9,No,12,3,40.0,6,3,3.0,2,2,2,2
4811,32,No,Travel_Frequently,Consultants,2.0,Male,4.0,Single,3068.0,0,No,13,3,40.0,8,2,2.0,7,7,3,6
9279,59,No,Travel_Rarely,Consultants,3.0,Female,1.0,Married,2670.0,4,Yes,20,4,52.0,12,3,2.0,1,0,0,0
1434,30,No,Travel_Rarely,Consultants,1.0,Male,3.0,Divorced,2693.0,1,No,22,4,40.0,1,2,3.0,1,0,0,0
4257,38,No,Travel_Frequently,Consultants,3.0,Male,3.0,Single,9526.0,0,No,21,4,40.0,10,2,3.0,9,7,1,8
9928,36,No,Travel_Rarely,Consultants,3.0,Male,3.0,Married,5237.0,6,No,13,3,40.0,17,3,2.0,7,7,7,7
7873,35,No,Travel_Rarely,Consultants,3.0,Male,2.0,Married,2426.0,0,No,13,3,40.0,6,5,3.0,5,4,0,3
4611,29,No,Travel_Rarely,Consultants,2.0,Female,3.0,Single,4193.0,0,Yes,12,3,48.0,10,3,3.0,9,5,0,8
8359,31,No,Travel_Rarely,Consultants,1.0,Male,3.0,Divorced,2911.0,1,No,17,3,40.0,5,1,2.0,5,2,4,3
5557,34,No,Travel_Rarely,Consultants,2.0,Male,4.0,Divorced,2661.0,0,No,11,3,40.0,3,2,3.0,2,2,1,2
1106,28,Yes,Travel_Rarely,Consultants,3.0,Male,3.0,Single,2028.0,5,Yes,14,3,50.0,6,4,3.0,4,2,0,3
3615,29,No,Travel_Rarely,Consultants,4.0,Female,1.0,Divorced,9980.0,1,No,11,3,40.0,10,1,3.0,10,9,8,8
7924,32,No,Travel_Rarely,Consultants,2.0,Male,2.0,Divorced,3298.0,0,Yes,12,3,51.0,7,5,2.0,6,2,0,5
6574,22,No,Non-Travel,Consultants,2.0,Male,4.0,Divorced,2935.0,1,Yes,13,3,54.0,1,2,2.0,1,0,0,0
5552,53,No,Travel_Rarely,Sales,4.0,Female,4.0,Married,15427.0,2,No,16,3,40.0,31,3,3.0,25,8,3,7
3547,38,No,Travel_Rarely,Consultants,3.0,Male,4.0,Single,3944.0,5,Yes,11,3,47.0,6,3,3.0,3,2,1,2
4527,24,No,Non-Travel,Consultants,2.0,Female,3.0,Divorced,4011.0,0,No,18,3,40.0,5,5,2.0,4,2,1,3
6514,36,Yes,Travel_Rarely,Sales,4.0,Male,1.0,Single,3407.0,7,No,23,4,40.0,10,4,3.0,5,3,0,3
2674,34,No,Travel_Rarely,Consultants,4.0,Female,2.0,Single,11994.0,0,No,11,3,40.0,13,4,3.0,12,6,2,11
2519,21,No,Travel_Rarely,Consultants,2.0,Male,4.0,Single,1232.0,1,No,14,3,40.0,0,6,3.0,0,0,0,0
7224,34,Yes,Travel_Rarely,Consultants,1.0,Male,1.0,Single,2960.0,2,No,11,3,40.0,8,2,3.0,4,2,1,3
2584,53,No,Travel_Rarely,Consultants,3.0,Female,3.0,Divorced,19094.0,4,No,11,3,40.0,26,3,2.0,14,13,4,8
6881,32,Yes,Travel_Frequently,Consultants,1.0,Female,1.0,Single,3919.0,1,Yes,22,4,53.0,10,5,3.0,10,2,6,7
6635,42,No,Travel_Rarely,Sales,4.0,Male,2.0,Married,6825.0,0,No,11,3,40.0,10,2,3.0,9,7,4,2
5333,44,No,Travel_Rarely,Consultants,4.0,Female,4.0,Married,10248.0,3,No,14,3,40.0,24,4,3.0,22,6,5,17
1711,46,No,Travel_Rarely,Sales,4.0,Female,1.0,Single,18947.0,3,No,12,3,40.0,22,2,2.0,2,2,2,1
8527,33,No,Travel_Rarely,Consultants,3.0,Male,4.0,Single,2496.0,4,No,11,3,40.0,7,3,3.0,1,1,0,0
9785,44,No,Travel_Rarely,Consultants,4.0,Male,4.0,Married,6465.0,2,Yes,13,3,46.0,9,5,4.0,4,2,1,3
3045,30,No,Travel_Rarely,Consultants,2.0,Male,3.0,Single,2206.0,1,No,13,3,40.0,10,5,3.0,10,0,1,8
7201,39,Yes,Travel_Rarely,Sales,3.0,Male,4.0,Married,2086.0,3,No,14,3,40.0,19,6,4.0,1,0,0,0
2291,24,Yes,Travel_Rarely,Consultants,3.0,Male,4.0,Married,2293.0,2,Yes,16,3,52.0,6,2,2.0,2,0,2,0
5803,43,No,Travel_Rarely,Consultants,2.0,Female,3.0,Divorced,2645.0,1,No,12,3,40.0,6,3,2.0,5,3,1,4
6925,50,Yes,Travel_Rarely,Sales,2.0,Male,3.0,Married,2683.0,1,Yes,14,3,50.0,3,2,3.0,3,2,0,2
4150,35,No,Travel_Rarely,Sales,3.0,Female,4.0,Married,2014.0,1,No,13,3,40.0,2,3,3.0,2,2,2,2
2139,36,No,Travel_Rarely,Consultants,4.0,Female,1.0,Married,3419.0,9,Yes,14,3,45.0,6,3,4.0,1,1,0,0
1750,33,No,Travel_Frequently,Sales,3.0,Female,1.0,Married,5376.0,2,No,19,3,40.0,10,3,3.0,5,3,1,3
4733,35,No,Travel_Rarely,Consultants,2.0,Male,4.0,Divorced,1951.0,1,No,12,3,40.0,1,3,3.0,1,0,0,0
5741,27,No,Travel_Rarely,Consultants,4.0,Female,1.0,Divorced,2341.0,1,No,13,3,40.0,1,6,3.0,1,0,0,0
2307,26,Yes,Travel_Rarely,Consultants,3.0,Male,3.0,Single,2293.0,1,No,12,3,40.0,1,2,2.0,1,0,0,1
4814,27,No,Travel_Frequently,Sales,3.0,Male,3.0,Single,8726.0,1,No,15,3,40.0,9,0,3.0,9,8,1,7
2654,30,No,Travel_Frequently,Consultants,2.0,Female,4.0,Single,4011.0,1,No,23,4,40.0,12,2,3.0,12,8,3,7
7227,41,Yes,Travel_Rarely,Consultants,3.0,Female,3.0,Married,19545.0,1,No,12,3,40.0,23,0,3.0,22,15,15,8
5554,34,No,Non-Travel,Sales,4.0,Male,3.0,Single,4568.0,0,No,20,4,40.0,10,2,3.0,9,5,8,7
8428,37,No,Travel_Rarely,Consultants,2.0,Male,2.0,Married,3022.0,4,No,21,4,40.0,8,1,3.0,1,0,0,0
6977,46,No,Travel_Frequently,Sales,4.0,Male,4.0,Single,5772.0,4,Yes,21,4,48.0,14,4,3.0,9,6,0,8
3664,35,No,Travel_Rarely,Consultants,1.0,Male,4.0,Married,2269.0,1,No,19,3,40.0,1,2,3.0,1,0,0,1
7065,48,Yes,Travel_Rarely,Consultants,2.0,Male,3.0,Single,5381.0,9,Yes,13,3,51.0,23,2,3.0,1,0,0,0
6820,28,Yes,Travel_Rarely,Consultants,4.0,      Male,3.0,Single,3441.0,1,Yes,13,3,56.0,2,3,2.0,2,2,2,2
4432,44,No,Travel_Rarely,Sales,5.0,Female,1.0,Divorced,5454.0,5,Yes,21,4,55.0,9,2,2.0,4,3,1,3
5374,35,No,Non-Travel,Consultants,2.0,Male,1.0,Married,9884.0,2,Yes,13,3,47.0,10,3,3.0,4,0,2,3
2169,26,No,Travel_Rarely,Sales,3.0,Female,4.0,Married,4157.0,7,Yes,19,3,54.0,5,2,2.0,2,2,0,0
3803,33,No,Travel_Frequently,Consultants,2.0,Female,4.0,Single,13458.0,1,Yes,12,3,48.0,15,1,3.0,15,14,8,12
9751,35,No,Travel_Frequently,Sales,5.0,Male,1.0,Married,9069.0,1,No,22,4,40.0,9,3,2.0,9,8,1,8
5010,35,No,Travel_Rarely,Consultants,4.0,Female,1.0,Married,4014.0,3,Yes,15,3,49.0,4,3,3.0,2,2,2,2
3677,31,No,Travel_Rarely,Consultants,4.0,Male,4.0,Divorced,5915.0,3,No,22,4,40.0,10,3,2.0,7,7,1,7
8573,37,No,Travel_Rarely,Consultants,4.0,Male,3.0,Divorced,5993.0,1,No,18,3,40.0,7,2,4.0,7,5,0,7
