,Age,Resigned,BusinessTravel,BusinessUnit,EducationLevel,Gender,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,AverageWeeklyHoursWorked,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInRole,YearsSinceLastPromotion,YearsWithCurrManager
0,38,0,NON_TRAVEL,SALES,3,F,4,S,5666,1,1,13,3,48,6,1,3,5,3,1,3
1,54,0,RARELY,SALES,4,F,3,M,10686,6,0,11,3,40,13,4,3,9,4,7,0
2,51,0,RARELY,CONSULTANTS,3,F,2,S,13734,3,0,18,3,40,21,6,3,7,7,1,0
3,38,0,FREQUENTLY,CONSULTANTS,4,M,3,M,5321,2,0,11,3,40,10,1,3,8,3,7,7
4,40,0,FREQUENTLY,CONSULTANTS,3,F,3,M,6323,1,0,11,3,40,10,2,4,10,9,9,4
5,43,0,RARELY,CONSULTANTS,4,M,4,D,16627,4,1,14,3,54,21,3,2,1,0,0,0
6,48,0,FREQUENTLY,CONSULTANTS,5,M,4,M,15202,2,0,25,4,40,23,3,3,2,2,2,2
7,45,0,RARELY,SALES,2,M,3,S,6632,0,0,13,3,40,9,3,3,8,7,3,1
8,31,1,FREQUENTLY,CONSULTANTS,5,F,2,S,7446,1,0,11,3,40,10,2,3,10,8,4,7
9,30,0,RARELY,SALES,3,F,3,S,6577,0,0,11,3,40,6,6,3,5,4,4,4
10,26,0,FREQUENTLY,CONSULTANTS,3,F,3,M,2544,1,0,18,3,45,7,3,3,7,7,7,7
11,43,0,RARELY,OPERATIONS,3,M,4,S,3539,0,0,13,3,40,10,5,3,9,7,1,8
12,33,0,RARELY,CONSULTANTS,3,M,2,S,4320,1,0,13,3,40,5,2,3,5,3,0,2
13,55,0,NON_TRAVEL,CONSULTANTS,1,M,1,S,16756,7,0,15,3,40,31,3,4,9,7,6,2
14,28,0,RARELY,CONSULTANTS,1,M,2,M,6549,1,0,14,3,40,8,2,2,8,6,1,7
15,37,0,RARELY,CONSULTANTS,3,F,2,S,4107,3,0,15,3,40,8,3,2,4,3,0,1
16,19,1,NON_TRAVEL,CONSULTANTS,3,F,2,S,1859,1,1,25,4,51,1,2,4,1,1,0,0
17,38,0,RARELY,CONSULTANTS,3,F,3,M,9824,3,0,19,3,40,18,4,3,1,0,0,0
18,32,0,RARELY,CONSULTANTS,1,M,1,S,2956,1,0,13,3,40,1,2,3,1,0,0,0
19,32,0,FREQUENTLY,CONSULTANTS,2,M,4,S,3068,0,0,13,3,40,8,2,2,7,7,3,6
20,53,1,RARELY,SALES,4,M,1,S,10448,6,1,13,3,56,15,2,2,2,2,2,2
21,34,0,RARELY,SALES,2,M,3,M,2308,0,1,25,4,47,12,4,3,11,10,5,7
22,39,0,RARELY,OPERATIONS,3,F,4,M,5204,8,0,11,3,40,13,2,3,5,4,0,4
23,52,0,RARELY,CONSULTANTS,3,F,4,S,3212,7,0,15,3,40,6,3,2,2,2,2,2
24,38,1,RARELY,CONSULTANTS,3,M,2,M,4855,4,0,11,3,40,7,2,3,5,2,1,4
25,26,0,RARELY,OPERATIONS,1,F,3,M,2942,1,0,23,4,40,8,3,3,8,7,5,7
26,43,0,FREQUENTLY,CONSULTANTS,5,M,3,D,5679,3,1,13,3,47,10,3,3,8,7,4,7
27,42,0,RARELY,CONSULTANTS,3,M,3,M,18880,5,0,11,3,40,24,2,2,22,6,4,14
28,28,0,FREQUENTLY,CONSULTANTS,4,M,3,S,2154,0,1,11,3,53,5,2,2,4,2,0,2
29,37,0,RARELY,CONSULTANTS,3,M,3,M,9434,1,0,15,3,40,10,2,3,10,7,7,8
30,58,1,RARELY,CONSULTANTS,4,M,2,S,19246,7,1,12,3,50,40,2,3,31,15,13,8
31,33,0,RARELY,CONSULTANTS,2,F,4,M,4878,0,1,13,3,47,10,6,3,9,7,8,1
32,24,0,RARELY,CONSULTANTS,2,M,3,S,4617,1,0,12,3,40,4,2,2,4,3,1,2
33,35,0,RARELY,CONSULTANTS,3,F,3,M,10685,1,1,20,4,49,17,2,3,17,14,5,15
34,41,1,NON_TRAVEL,CONSULTANTS,2,M,1,D,2107,6,0,17,3,40,5,2,1,1,0,0,0
35,19,0,RARELY,CONSULTANTS,2,M,1,S,2552,1,0,25,4,40,1,4,3,1,1,0,0
36,54,0,RARELY,CONSULTANTS,4,F,1,D,5485,9,1,11,3,47,9,4,3,5,3,1,4
37,31,0,NON_TRAVEL,CONSULTANTS,3,M,1,S,9936,0,0,19,3,40,10,2,3,9,4,1,7
38,44,1,FREQUENTLY,CONSULTANTS,3,M,3,D,3161,3,1,22,4,67,19,0,1,1,0,0,0
39,25,0,RARELY,SALES,3,M,2,M,4851,0,0,22,4,40,4,4,3,3,2,1,2
40,29,0,RARELY,OPERATIONS,3,M,1,S,7988,1,0,13,3,40,10,3,2,10,9,0,9
41,25,0,RARELY,SALES,2,F,3,D,4907,0,1,22,4,53,6,3,2,5,3,0,4
42,47,0,RARELY,CONSULTANTS,2,F,4,D,5070,5,0,13,3,40,20,2,3,5,0,0,4
43,28,1,RARELY,CONSULTANTS,2,F,2,S,2216,7,1,13,3,50,10,4,3,7,7,3,7
44,32,0,RARELY,CONSULTANTS,3,F,2,M,2370,1,0,13,3,40,8,4,3,8,0,0,7
45,29,1,RARELY,CONSULTANTS,4,M,4,M,4787,9,1,14,3,50,4,3,4,2,2,2,2
46,38,0,FREQUENTLY,CONSULTANTS,4,M,3,M,2821,3,0,16,3,40,8,2,3,2,2,2,2
47,38,0,FREQUENTLY,CONSULTANTS,3,F,2,D,2133,1,1,16,3,48,20,3,3,20,11,0,7
48,20,1,RARELY,CONSULTANTS,3,F,1,S,2600,1,1,15,3,52,1,2,3,1,0,0,0
49,29,0,FREQUENTLY,CONSULTANTS,1,F,2,M,3180,0,0,13,3,40,4,3,3,3,2,0,2
50,28,0,RARELY,CONSULTANTS,3,M,4,M,2070,1,0,23,4,40,5,3,2,5,2,0,4
51,41,0,RARELY,SALES,3,M,3,S,9241,1,0,12,3,40,10,3,3,10,8,8,7
52,34,0,RARELY,CONSULTANTS,4,F,4,S,6687,1,0,11,3,40,14,2,4,14,11,4,11
53,37,0,RARELY,CONSULTANTS,3,F,1,M,3452,6,0,20,4,40,17,3,3,5,4,0,3
54,36,0,NON_TRAVEL,CONSULTANTS,4,F,3,M,4374,0,0,15,3,40,4,6,3,3,2,1,2
55,55,0,RARELY,CONSULTANTS,4,M,3,M,4035,0,1,16,3,48,4,2,3,3,2,1,2
56,30,0,FREQUENTLY,CONSULTANTS,3,F,3,D,2083,1,0,20,4,40,1,2,3,1,0,0,0
57,34,0,RARELY,SALES,3,M,4,S,6274,1,0,22,4,40,6,5,3,6,5,1,4
58,33,0,RARELY,CONSULTANTS,4,M,1,S,2799,3,1,11,3,48,6,1,3,3,2,0,2
59,26,0,RARELY,CONSULTANTS,3,M,1,S,2867,0,0,13,3,40,8,6,2,7,7,7,6
60,29,0,RARELY,CONSULTANTS,1,F,4,M,3131,1,0,13,3,40,10,5,3,10,8,0,8
61,32,0,NON_TRAVEL,CONSULTANTS,4,M,1,M,4087,4,0,14,3,40,9,3,2,6,5,1,2
62,43,0,NON_TRAVEL,CONSULTANTS,3,M,3,S,2438,4,0,13,3,40,7,2,2,3,2,1,2
63,23,1,FREQUENTLY,SALES,3,M,1,M,1790,1,0,19,3,40,1,3,2,1,0,1,0
64,34,0,FREQUENTLY,CONSULTANTS,2,M,3,S,4033,2,0,11,3,40,5,3,2,3,2,0,2
65,34,0,RARELY,SALES,2,F,1,S,6125,1,0,12,3,40,10,6,4,10,8,9,6
66,50,0,RARELY,CONSULTANTS,2,M,4,D,17399,9,0,22,4,40,32,1,2,5,4,1,3
67,34,0,RARELY,SALES,2,F,1,M,6500,5,0,17,3,40,6,1,3,3,2,1,2
68,42,0,RARELY,CONSULTANTS,3,F,1,D,2593,0,1,11,3,50,10,4,3,9,6,7,8
69,24,1,RARELY,SALES,2,F,3,S,4577,9,0,14,3,40,4,3,3,2,2,2,0
70,46,0,RARELY,CONSULTANTS,4,M,4,D,19328,7,1,17,3,49,24,3,3,2,1,2,2
71,33,0,RARELY,SALES,4,M,1,M,6392,2,0,13,3,40,8,6,1,2,2,2,2
72,39,0,RARELY,OPERATIONS,3,F,2,M,6389,9,0,15,3,40,12,3,1,8,3,3,6
73,33,0,FREQUENTLY,CONSULTANTS,2,M,3,D,5968,1,0,20,4,40,9,2,3,9,7,2,8
74,51,0,RARELY,CONSULTANTS,4,M,2,M,12490,5,0,16,3,40,16,5,1,10,9,4,7
75,27,0,RARELY,CONSULTANTS,3,F,2,S,2478,1,1,12,3,53,4,2,2,4,3,1,2
76,55,1,RARELY,SALES,1,M,4,S,5160,4,0,16,3,40,12,3,2,9,7,7,3
77,30,0,NON_TRAVEL,CONSULTANTS,3,M,3,D,1274,1,0,13,3,40,1,2,2,1,0,0,0
78,34,0,RARELY,SALES,4,F,3,M,2220,1,1,19,3,49,1,2,3,1,1,0,0
79,30,1,FREQUENTLY,OPERATIONS,3,F,4,D,2180,6,0,11,3,40,6,0,2,4,2,1,2
80,38,0,RARELY,SALES,4,F,4,S,4028,0,0,20,4,40,8,2,3,7,7,0,5
81,32,0,RARELY,CONSULTANTS,1,M,1,S,2176,4,0,13,3,40,9,5,3,6,2,0,4
82,30,0,RARELY,CONSULTANTS,1,M,4,M,5126,1,1,12,3,51,10,1,2,10,8,3,0
83,39,1,RARELY,SALES,2,F,3,M,5238,4,1,18,3,56,12,3,2,1,0,0,0
84,55,0,RARELY,CONSULTANTS,4,M,4,M,2662,8,0,20,4,40,19,2,4,5,2,0,4
85,45,0,FREQUENTLY,CONSULTANTS,4,M,3,M,6434,4,0,17,3,40,9,1,3,3,2,0,2
86,22,0,RARELY,CONSULTANTS,3,F,2,M,2244,1,0,13,3,40,2,1,3,2,1,1,2
87,40,0,FREQUENTLY,SALES,4,M,1,M,10475,5,1,21,4,49,20,2,3,18,13,1,12
88,18,0,RARELY,SALES,3,F,3,S,1200,1,0,12,3,40,0,2,3,0,0,0,0
89,37,0,RARELY,CONSULTANTS,2,M,2,M,3022,4,0,21,4,40,8,1,3,1,0,0,0
90,29,0,RARELY,CONSULTANTS,3,M,2,M,2703,0,0,23,4,40,6,3,3,5,4,0,4
91,47,0,RARELY,CONSULTANTS,4,F,3,S,2105,4,0,12,3,40,7,2,3,2,2,2,0
92,34,0,RARELY,SALES,2,M,3,M,6799,1,0,21,4,40,10,5,3,10,8,4,8
93,31,0,FREQUENTLY,CONSULTANTS,1,F,4,S,5238,2,0,20,4,40,9,3,2,5,4,1,4
94,26,1,RARELY,CONSULTANTS,3,M,4,S,2340,1,1,18,3,63,1,3,1,1,0,0,0
95,38,0,FREQUENTLY,CONSULTANTS,5,F,4,S,2406,1,0,11,3,40,10,2,3,10,3,9,9
96,38,0,RARELY,CONSULTANTS,2,M,4,D,4771,2,0,19,3,40,10,0,4,5,2,0,3
97,46,0,RARELY,OPERATIONS,2,M,2,D,5021,8,1,22,4,47,16,2,3,4,2,0,2
98,28,1,RARELY,CONSULTANTS,4,M,3,S,3485,2,0,11,3,40,5,5,1,0,0,0,0
99,43,0,RARELY,SALES,4,F,4,S,10231,3,0,14,3,40,23,3,4,21,7,15,17
